"subject" "activity" "feature" "statistics" "dimension" "mean_value"
"714" 24 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.964001383472222
"715" 25 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.910126993561644
"716" 26 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.974305179605263
"717" 27 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.979890667972973
"718" 28 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.944218369375
"719" 29 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.98400134173913
"720" 30 "LAYING" "fBodyBodyGyroMag" "mean" "" -0.962001199
"721" 1 "WALKING" "tBodyAccJerkMag" "mean" "" -0.141428809031579
"722" 2 "WALKING" "tBodyAccJerkMag" "mean" "" -0.281424153881356
"723" 3 "WALKING" "tBodyAccJerkMag" "mean" "" -0.280009317413793
"724" 4 "WALKING" "tBodyAccJerkMag" "mean" "" -0.366700879833333
"725" 5 "WALKING" "tBodyAccJerkMag" "mean" "" -0.288333024071429
"726" 6 "WALKING" "tBodyAccJerkMag" "mean" "" -0.195117026052632
"727" 7 "WALKING" "tBodyAccJerkMag" "mean" "" -0.192948900438596
"728" 8 "WALKING" "tBodyAccJerkMag" "mean" "" -0.0668322430433333
"729" 9 "WALKING" "tBodyAccJerkMag" "mean" "" -0.203733615519231
"730" 10 "WALKING" "tBodyAccJerkMag" "mean" "" -0.132624992298283
"731" 11 "WALKING" "tBodyAccJerkMag" "mean" "" -0.402333202033898
"732" 12 "WALKING" "tBodyAccJerkMag" "mean" "" -0.144064922688
"733" 13 "WALKING" "tBodyAccJerkMag" "mean" "" -0.133205034736842
"734" 14 "WALKING" "tBodyAccJerkMag" "mean" "" -0.377293155084746
"735" 15 "WALKING" "tBodyAccJerkMag" "mean" "" -0.320129322962963
"736" 16 "WALKING" "tBodyAccJerkMag" "mean" "" -0.363144483529412
"737" 17 "WALKING" "tBodyAccJerkMag" "mean" "" -0.301093269180328
"738" 18 "WALKING" "tBodyAccJerkMag" "mean" "" -0.379269262142857
"739" 19 "WALKING" "tBodyAccJerkMag" "mean" "" 0.109450990201923
"740" 20 "WALKING" "tBodyAccJerkMag" "mean" "" -0.0429359302764706
"741" 21 "WALKING" "tBodyAccJerkMag" "mean" "" -0.148138991523077
"742" 22 "WALKING" "tBodyAccJerkMag" "mean" "" 0.02291996735
"743" 23 "WALKING" "tBodyAccJerkMag" "mean" "" -0.0670819655881356
"744" 24 "WALKING" "tBodyAccJerkMag" "mean" "" -0.399722201034483
"745" 25 "WALKING" "tBodyAccJerkMag" "mean" "" -0.538291424594595
"746" 26 "WALKING" "tBodyAccJerkMag" "mean" "" -0.290758024915254
"747" 27 "WALKING" "tBodyAccJerkMag" "mean" "" -0.230500549298246
"748" 28 "WALKING" "tBodyAccJerkMag" "mean" "" -0.299223359444444
"749" 29 "WALKING" "tBodyAccJerkMag" "mean" "" -0.240231677415094
"750" 30 "WALKING" "tBodyAccJerkMag" "mean" "" -0.352111713846154
"751" 1 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.466503446226415
"752" 2 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.321268911041667
"753" 3 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.436901159491525
"754" 4 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.400922254807692
"755" 5 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.247403476914894
"756" 6 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.207379799254902
"757" 7 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.458695232352941
"758" 8 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.141494613465854
"759" 9 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.440667540204082
"760" 10 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.262038042446809
"761" 11 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.509587701296296
"762" 12 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.432469300961538
"763" 13 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.456190454
"764" 14 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.28366383592037
"765" 15 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.316050382083333
"766" 16 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.48321905
"767" 17 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.357233897916667
"768" 18 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.601463948275862
"769" 19 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.114189605875
"770" 20 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.255611242098039
"771" 21 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.355047693617021
"772" 22 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0957840344357143
"773" 23 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.311143885098039
"774" 24 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.488487620508475
"775" 25 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.679160843538462
"776" 26 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.404463896363636
"777" 27 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.479067422156863
"778" 28 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.388086248235294
"779" 29 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.344324833061224
"780" 30 "WALKING_UPSTAIRS" "tBodyAccJerkMag" "mean" "" -0.596600099538461
"781" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0894474807979592
"782" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.00565516335106383
"783" 3 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.205239246653061
"784" 4 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.228851413747333
"785" 5 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0637528559361702
"786" 6 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.10384507225
"787" 7 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.170319619372979
"788" 8 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.262628490268421
"789" 9 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.16237608927619
"790" 10 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.0507010228431579
"791" 11 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.198206139934783
"792" 12 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.107091019565217
"793" 13 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.127926051502128
"794" 14 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.0353601375466667
"795" 15 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0372666071540476
"796" 16 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.165908810808511
"797" 17 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.221631694184783
"798" 18 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.466516044
"799" 19 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.434490400974359
"800" 20 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0612699838466667
"801" 21 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0802241799933333
"802" 22 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0179784626888889
"803" 23 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" 0.112982475627778
"804" 24 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.263106944836364
"805" 25 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.50048333137931
"806" 26 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.1488562664
"807" 27 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.115421210625
"808" 28 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.0707560279130435
"809" 29 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.138637624454167
"810" 30 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag" "mean" "" -0.293738801622581
"811" 1 "SITTING" "tBodyAccJerkMag" "mean" "" -0.987364195531915
"812" 2 "SITTING" "tBodyAccJerkMag" "mean" "" -0.986774713043478
"813" 3 "SITTING" "tBodyAccJerkMag" "mean" "" -0.969080752884615
"814" 4 "SITTING" "tBodyAccJerkMag" "mean" "" -0.9701322836
"815" 5 "SITTING" "tBodyAccJerkMag" "mean" "" -0.969320155681818
"816" 6 "SITTING" "tBodyAccJerkMag" "mean" "" -0.962733502
"817" 7 "SITTING" "tBodyAccJerkMag" "mean" "" -0.976559676458333
"818" 8 "SITTING" "tBodyAccJerkMag" "mean" "" -0.986061512173913
"819" 9 "SITTING" "tBodyAccJerkMag" "mean" "" -0.964383757
"820" 10 "SITTING" "tBodyAccJerkMag" "mean" "" -0.988054237592593
"821" 11 "SITTING" "tBodyAccJerkMag" "mean" "" -0.97935563509434
"822" 12 "SITTING" "tBodyAccJerkMag" "mean" "" -0.974734489803922
"823" 13 "SITTING" "tBodyAccJerkMag" "mean" "" -0.989497838979592
"824" 14 "SITTING" "tBodyAccJerkMag" "mean" "" -0.976521006111111
"825" 15 "SITTING" "tBodyAccJerkMag" "mean" "" -0.986107839152542
"826" 16 "SITTING" "tBodyAccJerkMag" "mean" "" -0.987472699130435
"827" 17 "SITTING" "tBodyAccJerkMag" "mean" "" -0.99281471515625
"828" 18 "SITTING" "tBodyAccJerkMag" "mean" "" -0.989869574561404
"829" 19 "SITTING" "tBodyAccJerkMag" "mean" "" -0.986423976027397
"830" 20 "SITTING" "tBodyAccJerkMag" "mean" "" -0.978774578333333
"831" 21 "SITTING" "tBodyAccJerkMag" "mean" "" -0.985947225176471
"832" 22 "SITTING" "tBodyAccJerkMag" "mean" "" -0.979303714032258
"833" 23 "SITTING" "tBodyAccJerkMag" "mean" "" -0.982375503382353
"834" 24 "SITTING" "tBodyAccJerkMag" "mean" "" -0.985555822352941
"835" 25 "SITTING" "tBodyAccJerkMag" "mean" "" -0.989545142461538
"836" 26 "SITTING" "tBodyAccJerkMag" "mean" "" -0.990898435769231
"837" 27 "SITTING" "tBodyAccJerkMag" "mean" "" -0.989467178285714
"838" 28 "SITTING" "tBodyAccJerkMag" "mean" "" -0.973274366805556
"839" 29 "SITTING" "tBodyAccJerkMag" "mean" "" -0.990719807666667
"840" 30 "SITTING" "tBodyAccJerkMag" "mean" "" -0.987799055645161
"841" 1 "STANDING" "tBodyAccJerkMag" "mean" "" -0.992367790566038
"842" 2 "STANDING" "tBodyAccJerkMag" "mean" "" -0.980489077407407
"843" 3 "STANDING" "tBodyAccJerkMag" "mean" "" -0.959303840327869
"844" 4 "STANDING" "tBodyAccJerkMag" "mean" "" -0.963370738392857
"845" 5 "STANDING" "tBodyAccJerkMag" "mean" "" -0.956863566071429
"846" 6 "STANDING" "tBodyAccJerkMag" "mean" "" -0.967102436140351
"847" 7 "STANDING" "tBodyAccJerkMag" "mean" "" -0.973381306226415
"848" 8 "STANDING" "tBodyAccJerkMag" "mean" "" -0.984920797777778
"849" 9 "STANDING" "tBodyAccJerkMag" "mean" "" -0.969524578888889
"850" 10 "STANDING" "tBodyAccJerkMag" "mean" "" -0.965163818409091
"851" 11 "STANDING" "tBodyAccJerkMag" "mean" "" -0.989242377234043
"852" 12 "STANDING" "tBodyAccJerkMag" "mean" "" -0.968790683278689
"853" 13 "STANDING" "tBodyAccJerkMag" "mean" "" -0.98680002754386
"854" 14 "STANDING" "tBodyAccJerkMag" "mean" "" -0.972965788166667
"855" 15 "STANDING" "tBodyAccJerkMag" "mean" "" -0.981495125660377
"856" 16 "STANDING" "tBodyAccJerkMag" "mean" "" -0.989205231794872
"857" 17 "STANDING" "tBodyAccJerkMag" "mean" "" -0.991742753589744
"858" 18 "STANDING" "tBodyAccJerkMag" "mean" "" -0.98596529369863
"859" 19 "STANDING" "tBodyAccJerkMag" "mean" "" -0.983068923561644
"860" 20 "STANDING" "tBodyAccJerkMag" "mean" "" -0.956624899041096
"861" 21 "STANDING" "tBodyAccJerkMag" "mean" "" -0.974765161910112
"862" 22 "STANDING" "tBodyAccJerkMag" "mean" "" -0.975876006507936
"863" 23 "STANDING" "tBodyAccJerkMag" "mean" "" -0.978671485441176
"864" 24 "STANDING" "tBodyAccJerkMag" "mean" "" -0.977620953913043
"865" 25 "STANDING" "tBodyAccJerkMag" "mean" "" -0.984647071216216
"866" 26 "STANDING" "tBodyAccJerkMag" "mean" "" -0.986985213648649
"867" 27 "STANDING" "tBodyAccJerkMag" "mean" "" -0.985347620125
"868" 28 "STANDING" "tBodyAccJerkMag" "mean" "" -0.959551987468354
"869" 29 "STANDING" "tBodyAccJerkMag" "mean" "" -0.990785419538462
"870" 30 "STANDING" "tBodyAccJerkMag" "mean" "" -0.971225190169491
"871" 1 "LAYING" "tBodyAccJerkMag" "mean" "" -0.9543962646
"872" 2 "LAYING" "tBodyAccJerkMag" "mean" "" -0.987741696041667
"873" 3 "LAYING" "tBodyAccJerkMag" "mean" "" -0.979484593387097
"874" 4 "LAYING" "tBodyAccJerkMag" "mean" "" -0.970095771666667
"875" 5 "LAYING" "tBodyAccJerkMag" "mean" "" -0.980141253846154
"876" 6 "LAYING" "tBodyAccJerkMag" "mean" "" -0.954750504912281
"877" 7 "LAYING" "tBodyAccJerkMag" "mean" "" -0.980127239615385
"878" 8 "LAYING" "tBodyAccJerkMag" "mean" "" -0.97314748962963
"879" 9 "LAYING" "tBodyAccJerkMag" "mean" "" -0.9633745492
"880" 10 "LAYING" "tBodyAccJerkMag" "mean" "" -0.976234435172414
"881" 11 "LAYING" "tBodyAccJerkMag" "mean" "" -0.983330628421053
"882" 12 "LAYING" "tBodyAccJerkMag" "mean" "" -0.969843834166667
"883" 13 "LAYING" "tBodyAccJerkMag" "mean" "" -0.985467853870968
"884" 14 "LAYING" "tBodyAccJerkMag" "mean" "" -0.972576392941176
"885" 15 "LAYING" "tBodyAccJerkMag" "mean" "" -0.979890228194444
"886" 16 "LAYING" "tBodyAccJerkMag" "mean" "" -0.988349656571429
"887" 17 "LAYING" "tBodyAccJerkMag" "mean" "" -0.981607627887324
"888" 18 "LAYING" "tBodyAccJerkMag" "mean" "" -0.98832154
"889" 19 "LAYING" "tBodyAccJerkMag" "mean" "" -0.98478434
"890" 20 "LAYING" "tBodyAccJerkMag" "mean" "" -0.984670073823529
"891" 21 "LAYING" "tBodyAccJerkMag" "mean" "" -0.982800330555556
"892" 22 "LAYING" "tBodyAccJerkMag" "mean" "" -0.971169779305556
"893" 23 "LAYING" "tBodyAccJerkMag" "mean" "" -0.987010197361111
"894" 24 "LAYING" "tBodyAccJerkMag" "mean" "" -0.985529270555556
"895" 25 "LAYING" "tBodyAccJerkMag" "mean" "" -0.962161355890411
"896" 26 "LAYING" "tBodyAccJerkMag" "mean" "" -0.989970604210526
"897" 27 "LAYING" "tBodyAccJerkMag" "mean" "" -0.988372773648649
"898" 28 "LAYING" "tBodyAccJerkMag" "mean" "" -0.978455341875
"899" 29 "LAYING" "tBodyAccJerkMag" "mean" "" -0.992725367826087
"900" 30 "LAYING" "tBodyAccJerkMag" "mean" "" -0.97923282
"901" 1 "WALKING" "tBodyAccMag" "mean" "" -0.136971176556842
"902" 2 "WALKING" "tBodyAccMag" "mean" "" -0.290407593728814
"903" 3 "WALKING" "tBodyAccMag" "mean" "" -0.254690333275862
"904" 4 "WALKING" "tBodyAccMag" "mean" "" -0.312050574166667
"905" 5 "WALKING" "tBodyAccMag" "mean" "" -0.158338674394643
"906" 6 "WALKING" "tBodyAccMag" "mean" "" -0.166840713631579
"907" 7 "WALKING" "tBodyAccMag" "mean" "" -0.0978090439438596
"908" 8 "WALKING" "tBodyAccMag" "mean" "" 0.0516786278104167
"909" 9 "WALKING" "tBodyAccMag" "mean" "" -0.0980840496143461
"910" 10 "WALKING" "tBodyAccMag" "mean" "" -0.127400912069811
"911" 11 "WALKING" "tBodyAccMag" "mean" "" -0.288323472033898
"912" 12 "WALKING" "tBodyAccMag" "mean" "" -0.102204550448
"913" 13 "WALKING" "tBodyAccMag" "mean" "" -0.135643867842105
"914" 14 "WALKING" "tBodyAccMag" "mean" "" -0.144404671779661
"915" 15 "WALKING" "tBodyAccMag" "mean" "" -0.186514650759259
"916" 16 "WALKING" "tBodyAccMag" "mean" "" -0.258766694117647
"917" 17 "WALKING" "tBodyAccMag" "mean" "" -0.151151487704918
"918" 18 "WALKING" "tBodyAccMag" "mean" "" -0.287908078035714
"919" 19 "WALKING" "tBodyAccMag" "mean" "" 0.0648173438653846
"920" 20 "WALKING" "tBodyAccMag" "mean" "" 0.039402280578902
"921" 21 "WALKING" "tBodyAccMag" "mean" "" -0.123455661519231
"922" 22 "WALKING" "tBodyAccMag" "mean" "" 0.0722419121669565
"923" 23 "WALKING" "tBodyAccMag" "mean" "" -0.0988770198220339
"924" 24 "WALKING" "tBodyAccMag" "mean" "" -0.299983613965517
"925" 25 "WALKING" "tBodyAccMag" "mean" "" -0.40528943
"926" 26 "WALKING" "tBodyAccMag" "mean" "" -0.223399171830508
"927" 27 "WALKING" "tBodyAccMag" "mean" "" -0.238853875263158
"928" 28 "WALKING" "tBodyAccMag" "mean" "" -0.1806660203
"929" 29 "WALKING" "tBodyAccMag" "mean" "" -0.0955213393716981
"930" 30 "WALKING" "tBodyAccMag" "mean" "" -0.195140032969231
"931" 1 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.129927630735849
"932" 2 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.107322679520833
"933" 3 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.184014895
"934" 4 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.153703935357692
"935" 5 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.0435562021989362
"936" 6 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.0177790974433333
"937" 7 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.198074437978431
"938" 8 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.121026629195122
"939" 9 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.260727581428571
"940" 10 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.0266623294757447
"941" 11 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.132594623759259
"942" 12 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.229183927115385
"943" 13 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.10115350174
"944" 14 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.140108204051852
"945" 15 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.000971394711666667
"946" 16 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.233990331568627
"947" 17 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.0128062276916667
"948" 18 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.279146312758621
"949" 19 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.01738119347275
"950" 20 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.00872502461176471
"951" 21 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.0810453188106383
"952" 22 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.210282608333333
"953" 23 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.0117536873784314
"954" 24 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.226402822033898
"955" 25 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.305772199076923
"956" 26 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.142874499381818
"957" 27 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.160589355980392
"958" 28 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.186240503960784
"959" 29 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" 0.00834360271428571
"960" 30 "WALKING_UPSTAIRS" "tBodyAccMag" "mean" "" -0.137627857227385
"961" 1 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.0271882914106122
"962" 2 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.0899511204978723
"963" 3 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.0628126118283674
"964" 4 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.0491616726733333
"965" 5 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.211138853638298
"966" 6 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.333754731458333
"967" 7 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.0198795285851064
"968" 8 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.176599311818421
"969" 9 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.145886357935714
"970" 10 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.250843769394737
"971" 11 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.126227657258696
"972" 12 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.0183139429630435
"973" 13 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.0294634299553191
"974" 14 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.185537706866667
"975" 15 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.320449387166667
"976" 16 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.191079793587447
"977" 17 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.148951103536087
"978" 18 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.293531973636364
"979" 19 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.644604325128205
"980" 20 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.221851587933333
"981" 21 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.245771699004444
"982" 22 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.330999221944444
"983" 23 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.127211137694444
"984" 24 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.0737699163072727
"985" 25 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.22010859462069
"986" 26 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.114379383742
"987" 27 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.108071382861364
"988" 28 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.104359216580435
"989" 29 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" 0.103705165666667
"990" 30 "WALKING_DOWNSTAIRS" "tBodyAccMag" "mean" "" -0.0373901122469355
"991" 1 "SITTING" "tBodyAccMag" "mean" "" -0.948536786170213
"992" 2 "SITTING" "tBodyAccMag" "mean" "" -0.967893623913043
"993" 3 "SITTING" "tBodyAccMag" "mean" "" -0.895383350192308
"994" 4 "SITTING" "tBodyAccMag" "mean" "" -0.93569482
"995" 5 "SITTING" "tBodyAccMag" "mean" "" -0.9379783225
"996" 6 "SITTING" "tBodyAccMag" "mean" "" -0.949543531272727
"997" 7 "SITTING" "tBodyAccMag" "mean" "" -0.918432107083333
"998" 8 "SITTING" "tBodyAccMag" "mean" "" -0.952139704347826
"999" 9 "SITTING" "tBodyAccMag" "mean" "" -0.8933617176
"1000" 10 "SITTING" "tBodyAccMag" "mean" "" -0.96075719962963
"1001" 11 "SITTING" "tBodyAccMag" "mean" "" -0.961970763773585
"1002" 12 "SITTING" "tBodyAccMag" "mean" "" -0.952176621372549
"1003" 13 "SITTING" "tBodyAccMag" "mean" "" -0.957690563673469
"1004" 14 "SITTING" "tBodyAccMag" "mean" "" -0.944197943703704
"1005" 15 "SITTING" "tBodyAccMag" "mean" "" -0.958669836271186
"1006" 16 "SITTING" "tBodyAccMag" "mean" "" -0.961879680724638
"1007" 17 "SITTING" "tBodyAccMag" "mean" "" -0.97274734640625
"1008" 18 "SITTING" "tBodyAccMag" "mean" "" -0.983674151754386
"1009" 19 "SITTING" "tBodyAccMag" "mean" "" -0.962074065616438
"1010" 20 "SITTING" "tBodyAccMag" "mean" "" -0.952738043030303
"1011" 21 "SITTING" "tBodyAccMag" "mean" "" -0.974734999411765
"1012" 22 "SITTING" "tBodyAccMag" "mean" "" -0.942167353870968
"1013" 23 "SITTING" "tBodyAccMag" "mean" "" -0.944080772941176
"1014" 24 "SITTING" "tBodyAccMag" "mean" "" -0.968979156470588
"1015" 25 "SITTING" "tBodyAccMag" "mean" "" -0.970409337076923
"1016" 26 "SITTING" "tBodyAccMag" "mean" "" -0.953079994102564
"1017" 27 "SITTING" "tBodyAccMag" "mean" "" -0.979481668857143
"1018" 28 "SITTING" "tBodyAccMag" "mean" "" -0.955789708611111
"1019" 29 "SITTING" "tBodyAccMag" "mean" "" -0.978017021833333
"1020" 30 "SITTING" "tBodyAccMag" "mean" "" -0.957487221451613
"1021" 1 "STANDING" "tBodyAccMag" "mean" "" -0.984278207358491
"1022" 2 "STANDING" "tBodyAccMag" "mean" "" -0.965875181296296
"1023" 3 "STANDING" "tBodyAccMag" "mean" "" -0.925430819016393
"1024" 4 "STANDING" "tBodyAccMag" "mean" "" -0.906478051785714
"1025" 5 "STANDING" "tBodyAccMag" "mean" "" -0.906104701071429
"1026" 6 "STANDING" "tBodyAccMag" "mean" "" -0.945022876491228
"1027" 7 "STANDING" "tBodyAccMag" "mean" "" -0.942724659245283
"1028" 8 "STANDING" "tBodyAccMag" "mean" "" -0.953762884074074
"1029" 9 "STANDING" "tBodyAccMag" "mean" "" -0.945167482444444
"1030" 10 "STANDING" "tBodyAccMag" "mean" "" -0.951988907954545
"1031" 11 "STANDING" "tBodyAccMag" "mean" "" -0.984853836595745
"1032" 12 "STANDING" "tBodyAccMag" "mean" "" -0.941459935081967
"1033" 13 "STANDING" "tBodyAccMag" "mean" "" -0.971564243157895
"1034" 14 "STANDING" "tBodyAccMag" "mean" "" -0.943456847333333
"1035" 15 "STANDING" "tBodyAccMag" "mean" "" -0.961207616226415
"1036" 16 "STANDING" "tBodyAccMag" "mean" "" -0.969948825128205
"1037" 17 "STANDING" "tBodyAccMag" "mean" "" -0.977635981410256
"1038" 18 "STANDING" "tBodyAccMag" "mean" "" -0.972607495342466
"1039" 19 "STANDING" "tBodyAccMag" "mean" "" -0.960505683561644
"1040" 20 "STANDING" "tBodyAccMag" "mean" "" -0.92240685739726
"1041" 21 "STANDING" "tBodyAccMag" "mean" "" -0.958774298089888
